subregion,risk_forest_fire,num_index
Alt Camp,Moderate,2
Alt Empordà,Very high,4
Alt Penedès,High,3
Alt Urgell,Low,1
Alta Ribagorça,Low,1
Anoia,Very high,4
Aran,Low,1
Bages,Very high,4
Baix Camp,Very high,4
Baix Ebre,Low,1
Baix Empordà,High,3
Baix Llobregat,Very high,4
Baix Penedès,Low,1
Barcelonès,Low,1
Berguedà,Moderate,2
Cerdanya,Low,1
Conca de Barberà,High,3
Garraf,Very high,4
Garrigues,Moderate,2
Garrotxa,Moderate,2
Gironès,Very high,4
Maresme,High,3
Moianès,Very high,4
Montsià,High,3
Noguera,High,3
Osona,High,3
Pallars Jussà,Moderate,2
Pallars Sobirà,Low,1
Pla d'Urgell,Moderate,2
Pla de l'Estany,High,3
Priorat,Very high,4
Ribera d'Ebre,Very high,4
Ripollès,Low,1
Segarra,Moderate,2
Segrià,Moderate,2
Selva,Very high,4
Solsonès,Very high,4
Tarragonès,High,3
Terra Alta,Very high,4
Urgell,Moderate,2
Vallès Occidental,Moderate,2
Vallès Oriental,Moderate,2
